region,plan_type,yyyymm,avg_resolution_hrs,median_resolution_hrs,ticket_count
North,Prepaid,202412,20.00,20,1
East,Postpaid,202501,18.00,18,1
East,Prepaid,202501,4.00,4,1
North,Postpaid,202501,11.25,11.5,4
North,Prepaid,202501,9.00,9,2
South,Postpaid,202501,13.67,16,3
South,Prepaid,202501,12.60,11,5
West,Postpaid,202501,17.25,19.5,4
West,Prepaid,202501,8.33,9,3
East,Postpaid,202502,18.00,18,1
East,Prepaid,202502,15.50,15.5,2
North,Postpaid,202502,9.33,10,3
North,Prepaid,202502,10.00,10,2
South,Postpaid,202502,13.50,15,6
South,Prepaid,202502,9.00,9,1
West,Postpaid,202502,6.67,3,3
West,Prepaid,202502,12.00,12,2
East,Postpaid,202503,19.00,19,1
East,Prepaid,202503,9.00,9,2
North,Postpaid,202503,8.25,7.5,4
North,Prepaid,202503,14.50,14,6
South,Postpaid,202503,10.33,9,3
South,Prepaid,202503,9.00,9,5
West,Postpaid,202503,2.50,2.5,2
West,Prepaid,202503,6.33,3,3
East,Postpaid,202504,18.00,18,2
East,Prepaid,202504,13.50,14,4
North,Postpaid,202504,10.00,10,1
North,Prepaid,202504,11.17,10,6
South,Postpaid,202504,16.50,16.5,2
South,Prepaid,202504,3.50,3.5,2
West,Postpaid,202504,10.75,9.5,4
West,Prepaid,202504,8.00,8,2
East,Postpaid,202505,14.00,14,1
East,Prepaid,202505,14.00,19,3
North,Postpaid,202505,7.25,4,4
North,Prepaid,202505,3.00,3,3
South,Postpaid,202505,4.00,5,3
South,Prepaid,202505,10.50,10.5,2
West,Postpaid,202505,14.50,14.5,2
West,Prepaid,202505,14.00,14,1
East,Postpaid,202506,14.00,12,3
East,Prepaid,202506,15.25,15.5,4
North,Postpaid,202506,8.86,8,7
North,Prepaid,202506,9.50,9.5,2
South,Postpaid,202506,14.00,14,1
South,Prepaid,202506,13.20,15,5
West,Postpaid,202506,12.00,14,3
West,Prepaid,202506,12.00,12,1
north,Prepaid,202506,15.00,15,1
